name,,name,date,website,size,year,,,,
Minexcoin,,Minexcoin,6/13/17,https://minexcoin.com/,0,17,,,,
SuperDAO,,SuperDAO,6/13/17,http://www.superdao.io/,0,17,,,,
Bancor,,Bancor,6/12/17,https://www.bancor.network/,153,17,,,,
Aira,,Aira,6/11/17,http://aira.life/,1.02,17,,,,
Zrcoin,,Zrcoin,6/9/17,https://zrcoin.io/,7.01,17,,,,
EcoBit,,EcoBit,6/8/17,http://www.ecobit.io/en/index.html,3.49,17,,,,
Cofound.it,,Cofound.it,6/6/17,https://cofound.it/en/,11.34,17,,,,
VOISE,,VOISE,6/6/17,https://voise.it/,0.41,17,,,,
Patientory,,Patientory,6/3/17,https://patientory.com/,6.52,17,,,,
Embermine,,Embermine,6/2/17,https://embermine.com/,0.08,17,,,,
Adel,,Adel,6/1/17,https://www.adelphoi.io/,1.21,17,,,,
Basic Attention Token,,BasicAttentionToken,5/31/17,https://basicattentiontoken.org/,35,17,,,,
Exscudo,,Exscudo,5/31/17,https://exscudo.com/,5.3,17,,,,
Mysterium Network,,MysteriumNetwork,5/30/17,https://mysterium.network/,14.1,17,,,,
Suretly,,Suretly,5/30/17,https://www.ico.suretly.com/,1.68,17,,,,
Veritaseum,,Veritaseum,5/26/17,http://veritas.veritaseum.com/,9.58,17,,,,
Metal,,Metal,5/26/17,https://www.metalpay.com/,0.03,17,,,,
MobileGo,,MobileGo,5/25/17,https://mobilego.io/,53.07,17,,,,
Storj,,Storj,5/25/17,https://storj.io/index.html,29.22,17,,,,
E4ROW,,E4ROW,5/22/17,https://www.e4row.co.il/,0.86,17,,,,
Viva Coin,,VivaCoin,5/21/17,https://vivaco.in/,0,17,,,,
Aragon,,Aragon,5/17/17,https://aragon.one/,24.75,17,,,,
BitcoinGrowthFund,,BitcoinGrowthFund,5/17/17,https://bitcoingrowthfund.com/mcap,19.35,17,,,,
Peerplays,,Peerplays,5/15/17,https://www.peerplays.com/,1.46,17,,,,
Ethbits,,Ethbits,5/15/17,https://www.ethbits.com/,1.28,17,,,,
Legends Room,,LegendsRoom,5/15/17,https://legendsroomlv.com/,1.23,17,,,,
BOScoin,,BOScoin,5/10/17,https://boscoin.io/en/home/,17.92,17,,,,
Nexxus,,Nexxus,5/8/17,http://www.nexxuscoin.com/sections/company/21/nexxuscoin/index.html,0,17,,,,
Quantum Resistant Ledger,,QuantumResistantLedger,5/7/17,https://theqrl.org/,4.16,17,,,,
TokenCard,,TokenCard,5/2/17,https://tokencard.io/,12.7,17,,,,
Creativechain,,Creativechain,5/1/17,https://www.creativechain.org,0.35,17,,,,
Apptrade,,Apptrade,4/30/17,https://www.apptrade.io/,0.24,17,,,,
Lunyr,,Lunyr,4/28/17,https://lunyr.com/,5.32,17,,,,
Back to Earth,,BacktoEarth,4/28/17,https://backto.earth/,0.97,17,,,,
TaaS,,TaaS,4/27/17,https://taas.fund/,7.57,17,,,,
Humaniq,,Humaniq,4/27/17,https://humaniq.co/,5.16,17,,,,
Gnosis,,Gnosis,4/24/17,https://gnosis.pm/,12.25,17,,,,
IEX.EC,,IEX.EC,4/19/17,http://iex.ec/,12.12,17,,,,
WeTrust,,WeTrust,4/12/17,https://www.wetrust.io/,4.66,17,,,,
Blockchain Capital,,BlockchainCapital,4/10/17,http://blockchain.capital/,10,17,,,,
Aeternity,,Aeternity,4/6/17,https://www.aeternity.com/,22.63,17,,,,
Cosmos Network,,CosmosNetwork,4/6/17,https://cosmos.network/,16.8,17,,,,
Cosmos,,Cosmos,4/5/17,https://cosmos.network/,0.39,17,,,,
Matchpool,,Matchpool,4/3/17,https://matchpool.co/,5.63,17,,,,
Equibit,,Equibit,3/31/17,http://equibitgroup.com/,1.14,17,,,,
Chain of Points,,ChainofPoints,3/31/17,https://chainofpoints.com/,0.01,17,,,,
CashScripter,,CashScripter,3/30/17,https://www.cashscripter.com/,0.19,17,,,,
Qtum,,Qtum,3/21/17,https://qtum.org/en/,15.43,17,,,,
Edgeless,,Edgeless,3/21/17,https://edgeless.io/,2.65,17,,,,
Lykke,,Lykke,2/28/17,https://www.lykke.com/,1.21,17,,,,
Augmentors,,Augmentors,2/28/17,http://www.augmentorsgame.com/,1.09,17,,,,
Lykke ,2nd round),Lykke,2/27/17,https://www.lykke.com/,1.97,17,,,,
Contingency,,Contingency,2/27/17,https://contingency.tech/,0.39,17,,,,
Etheroll,,Etheroll,2/26/17,https://etheroll.com/,0.29,17,,,,
Melon,,Melon,2/15/17,https://melonport.com/,2.9,17,,,,
Chronobank,,Chronobank,2/14/17,https://chronobank.io/,5.4,17,,,,
Dfinity,,Dfinity,2/13/17,https://dfinity.network/,3.75,17,,,,
Tokes,,Tokes,1/14/17,http://cannabisrevolution.us/,0.25,17,,,,
Wings,,Wings,1/6/17,https://www.wings.ai/#!/home/discover,2.07,17,,,,
BetKing,,BetKing,12/31/16,https://betking.io/,0.55,16,,,,
Darcrus,,Darcrus,12/28/16,https://darcr.us/,0.3,16,,,,
BlockCDN,,BlockCDN,12/26/16,http://www.blockcdn.org/,0.3,16,,,,
Ether.camp,,Ether.camp,12/22/16,http://www.ether.camp/,0.65,16,,,,
Virtual Accelerator,,VirtualAccelerator,12/21/16,http://www.ether.camp/,0.65,16,,,,
Mysterium ,1st round),Mysterium,12/18/16,https://mysterium.network/,0.05,16,,,,
vDice,,vDice,12/15/16,https://www.vdice.io/,1.65,16,,,,
Ark,,Ark,12/11/16,https://ark.io/,1,16,,,,
Golos,,Golos,12/4/16,https://golos.io/,0.45,16,,,,
Incent,,Incent,11/30/16,https://www.incentloyalty.com/,1,16,,,,
Beyond the Void,,BeyondtheVoid,11/30/16,https://www.beyond-the-void.net/,0.33,16,,,,
MassNetwork,,MassNetwork,11/30/16,https://mass.network/,0.25,16,,,,
Arcade City,,ArcadeCity,11/29/16,https://arcade.city/,0.64,16,,,,
ETCWin,,ETCWin,11/23/16,https://www.etcwin.com/,1.31,16,,,,
Komodo,,Komodo,11/20/16,https://komodoplatform.com/,1.98,16,,,,
Golem,,Golem,11/11/16,https://golem.network/,8.6,16,,,,
Kibo Lotto,,KiboLotto,11/9/16,https://kiboplatform.net/en/landing.html,1.9,16,,,,
Decent,,Decent,11/6/16,https://decent.ch/,4.13,16,,,,
Synereo,,Synereo,10/17/16,https://www.synereo.com/,4.7,16,,,,
Lykke ,1st round),Lykke,10/9/16,https://www.lykke.com/,1.15,16,,,,
SingularDTV,,SingularDTV,10/2/16,https://singulardtv.com/,7.5,16,,,,
Iconomi,,Iconomi,9/26/16,https://www.iconomi.net/,10.5,16,,,,
First Blood,,FirstBlood,9/26/16,https://firstblood.io/sale/,5.5,16,,,,
Antshares,,Antshares,9/7/16,https://www.antshares.org/,3.5,16,,,,
Metaverse,,Metaverse,9/5/16,http://viewfin.com/index.html#team,3,16,,,,
BlockPay,,BlockPay,9/5/16,https://blockpay.ch/,0.66,16,,,,
Elastic,,Elastic,8/19/16,http://www.elastic-project.com/,0.42,16,,,,
HEAT,,HEAT,8/16/16,http://heatledger.com/,0.9,16,,,,
Icoo,,Icoo,7/30/16,https://www.icoo.io/,0.37,16,,,,
Xaurum,,Xaurum,7/16/16,https://rico.xaurum.org/,0.85,16,,,,
Stratis,,Stratis,7/16/16,https://stratisplatform.com/,0.6,16,,,,
Breakout Coin,,BreakoutCoin,7/7/16,http://www.breakoutcoin.com/,0.56,16,,,,
Waves,,Waves,6/1/16,https://wavesplatform.com/downloads.html#,16,16,,,,
Rise,,Rise,6/1/16,https://rise.vision/,1.1,16,,,,
Plutus,,Plutus,6/1/16,https://getplutons.plutus.it/,1,16,,,,
Mycelium  ,2nd round),Mycelium,5/17/16,https://wallet.mycelium.com/,2.33,16,,,,
The DAO,,TheDAO,5/1/16,https://forum.daohub.org/,152,16,,,,
Project Decorum,,ProjectDecorum,5/1/16,http://www.project-decorum.com/,0.43,16,,,,
Ionomy,,Ionomy,4/1/16,https://ionomy.com/,0.5,16,,,,
DigixGlobal,,DigixGlobal,3/29/16,https://dgx.io/,5.5,16,,,,
DigixDAO,,DigixDAO,3/28/16,https://www.dgx.io/,5.5,16,,,,
Lisk,,Lisk,3/21/16,https://lisk.io/,5.8,16,,,,
Obits,,Obits,1/1/16,https://obits.io/,0.3,16,,,,
Iota,,Iota,12/20/15,https://iota.org/,0.44,15,,,,
Augur,,Augur,10/1/15,https://augur.net/,5.14,15,,,,
Spells of Genesis,,SpellsofGenesis,9/1/15,https://spellsofgenesis.com/,0.53,15,,,,
Factom,,Factom,5/14/15,https://www.factom.com/,0.54,15,,,,
NeuCoin,,NeuCoin,4/30/15,http://www.neucoin.org/en/,0.63,15,,,,
DacPlay,,DacPlay,2/21/15,https://dacplay.org/en/,0.59,15,,,,
GetGems,,GetGems,1/4/15,http://getgems.org,0.74,15,,,,
MUSE,,MUSE,12/3/14,http://www.museblockchain.com,0.54,14,,,,
SuperNET,,SuperNET,9/22/14,http://thesupernet.org/,2.5,14,,,,
Ethereum,,Ethereum,9/2/14,https://ethereum.org/,18.44,14,,,,
Swarm,,Swarm,7/19/14,https://swarmcorp.com/,0.74,14,,,,
MaidSafeCoin,,MaidSafeCoin,5/21/14,https://maidsafe.net/,6,14,,,,
Counterparty,,Counterparty,2/3/14,https://counterparty.io/,1.79,14,,,,
,,OnPlace,,,,,,,,
,,Viberate,,,,,,,,
,,Aventus,,,,,,,,
,,stuffgogo,,,,,,,,
,,Filecoin,,,,,,,,
,,FUJINTO,,,,,,,,
,,Indorse,,,,,,,,
,,COSS,,,,,,,,
,,xplay,,,,,,,,
,,BetKing,,,,,,,,
,,Modum,,,,,,,,
,,KICKICO,,,,,,,,
,,SolomonExchange,,,,,,,,
,,Ahoolee,,,,,,,,
,,Silentnotary,,,,,,,,
,,Revain,,,,,,,,
,,DetectorToken,,,,,,,,
,,trackr,,,,,,,,
,,FaceCoin,,,,,,,,
,,Substratum,,,,,,,,
,,AlpenCoin,,,,,,,,
,,InsureX,,,,,,,,
,,Suretly,,,,,,,,
,,Blocktix,,,,,,,,
,,MonsterByte,,,,,,,,
,,SmartInvestmentFundToken,,,,,,,,
,,Mothership,,,,,,,,
,,Tierion,,,,,,,,
,,Propy,,,,,,,,
,,Paquarium,,,,,,,,
,,Opus,,,,,,,,
,,Santiment,,,,,,,,
,,Starta,,,,,,,,
,,CoinDash,,,,,,,,
,,ATBcoin,,,,,,,,
,,Agrello,,,,,,,,
,,Pillar,,,,,,,,
,,Dent,,,,,,,,
,,Cofound.it,,,,,,,,
,,Dimcoin,,,,,,,,
,,Tezos,,,,,,,,
,,Suncontract,,,,,,,,
,,TrueFlip,,,,,,,,
,,OmiseGo,,,,,,,,
,,Primalbase,,,,,,,,
,,openANX,,,,,,,,
,,Civic,,,,,,,,
,,Skincoin,,,,,,,,
,,Status,,,,,,,,
,,SONM,,,,,,,,
,,Orocrypt,,,,,,,,
,,ZrCoin,,,,,,,,
,,Boscoin,,,,,,,,
,,VOISE,,,,,,,,
